0,1,2,3,4
1,1491414153747,-0.2051260024,9.8679380417,-8.6599273682
1,1491414153786,-0.2093845308,9.5167484283,-6.8396921158
1,1491414153826,-0.2138219327,8.772810936,-5.025375843
1,1491414153867,-0.2053258419,7.7644100189,-3.4602236748
1,1491414153906,-0.1871625632,6.692407608,-2.3676655293
1,1491414153949,-0.1635782719,5.6888189316,-1.5534439087
1,1491414153999,-0.1715748757,4.8208899498,-1.0025297403
1,1491414154036,-0.1207448319,4.0453057289,-0.657461226
1,1491414154086,-0.1056785583,3.4219655991,-0.4020138681
1,1491414154119,-0.0930484459,2.8819885254,-0.2249234319
1,1491414154152,-0.0991181433,2.4291496277,-0.0953403264
1,1491414154202,-0.0628810525,2.0952835083,-0.0082030585
1,1491414154236,-0.0549148433,1.7561893463,0.0135910371
1,1491414154271,-0.0621347316,1.5173832178,0.0713747069
1,1491414154310,-0.0592557788,1.2770926952,0.1015117764
1,1491414154349,-0.0595817603,1.0954555273,0.1604955792
1,1491414154389,-0.0377498679,0.9502019882,0.1251410097
1,1491414154431,-0.0271242596,0.8211937547,0.178782478
1,1491414154469,-0.0079079075,0.70486027,0.1599683762
1,1491414154509,-0.0222922135,0.6115092635,0.1915050149
1,1491414154549,-0.023214031,0.537163496,0.1797458977
1,1491414154590,-0.0176077168,0.4545839131,0.1883978099
1,1491414154629,-0.0265441164,0.3969223797,0.1603423357
1,1491414154669,-0.0160229523,0.3401246667,0.1712865233
1,1491414154709,-0.0194470864,0.3041686118,0.1829875857
1,1491414154749,-0.0062842141,0.2540278137,0.1633001864
1,1491414154789,-0.023960026,0.2153534591,0.1886866987
1,1491414154829,-0.0051707732,0.1665332466,0.2033332735
1,1491414154871,0.0047610127,0.1665409654,0.1977305114
1,1491414154911,-0.0046011298,0.1297041327,0.1665019691
1,1491414154953,-0.0134165082,0.1032760292,0.1520278007
1,1491414154990,0.0046639815,0.1154936031,0.1714812517
1,1491414155031,-0.0334425829,0.095085986,0.2022202611
1,1491414155072,-0.025767494,0.0684546754,0.182982251
1,1491414155111,-0.0045520244,0.0767708197,0.1879949421
1,1491414155154,0.0047633741,0.0607493259,0.1759888679
1,1491414155190,-0.0137430895,0.0602763891,0.1877946407
1,1491414155231,-0.0102091748,0.0400968716,0.1852867007
1,1491414155273,0.0127583239,0.0198756512,0.1889167577
1,1491414155312,-0.0107610794,0.0208320711,0.1707568765
1,1491414155353,-0.0155687369,0.0348688886,0.1899423152
1,1491414155392,-0.0175586324,-0.0015934425,0.1848919094
1,1491414155430,0.0035597882,0.0132890595,0.1528195739
1,1491414155470,-0.0295056291,-0.0102880374,0.1703527123
1,1491414155512,-0.002864378,-0.0042627268,0.1909467727
1,1491414155551,0.0008712782,-0.0008463395,0.1874064505
1,1491414155594,-0.0012299782,0.0054753385,0.1958012432
1,1491414155631,-0.0045747883,0.0127355997,0.1503266245
1,1491414155678,-0.0084200874,-0.0031457902,0.1825175285
1,1491414155711,0.0036794634,0.0017701008,0.1790564358
1,1491414155752,-0.0178940892,0.0018208278,0.1705027968
1,1491414155792,-0.0034130793,0.0136990733,0.1694965661
1,1491414155831,-0.0260584876,-0.0282746796,0.1810240597
1,1491414155871,0.001708008,-0.0138408942,0.1538022012
1,1491414155913,-0.0064848033,0.0066698547,0.1287256479
1,1491414155951,0.01206234,0.0074368115,0.1803542376
1,1491414155991,-0.0091776978,0.003977993,0.141852349
1,1491414156032,4.39245886809658E-05,-0.0081046084,0.1586088836
1,1491414156070,-0.0219431855,0.0119585628,0.187288329
1,1491414156111,-0.0003109658,0.0061171763,0.1646773815
1,1491414156151,-0.0100851096,0.0047453935,0.1765607148
1,1491414156191,-0.0079457005,-0.0001929999,0.1825294197
1,1491414156232,0.0077891857,0.0239783488,0.1468932033
1,1491414156273,0.012450614,-0.0025814706,0.1647199392
1,1491414156313,-0.0095831212,0.0043119993,0.2124725431
1,1491414156350,-0.0117123639,0.0021295415,0.177723363
1,1491414156393,-0.0058426037,-0.0326147713,0.1667744219
1,1491414156430,0.0048196902,-0.015955301,0.1813306212
1,1491414156472,0.0497644879,-0.0735732019,0.223227337
1,1491414156511,0.0094723618,-0.0231095236,0.1597714871
1,1491414156551,0.0502948575,-0.0178754162,0.0883185863
1,1491414156592,-0.004700786,-0.0162996501,0.2171809524
1,1491414156630,0.0081580197,0.003699546,0.2557189763
1,1491414156670,0.0335140601,-0.034543559,0.2281451076
1,1491414156716,0.0136022102,-0.0092209931,0.2006122023
1,1491414156761,0.0120591577,-0.0181128345,0.1071666703
1,1491414156791,-0.0050714356,-0.0150985196,0.1800761521
1,1491414156833,-0.0014523872,0.0050197104,0.201782167
1,1491414156872,-0.0105823632,0.0219501071,0.1742836386
1,1491414156911,-0.0210122596,0.0014951586,0.1704805791
1,1491414156951,-0.0329351611,-0.0059044529,0.1894950569
1,1491414156989,-0.0544253029,0.0366455764,0.1477111578
1,1491414157030,0.0027035179,-0.0169113968,0.1275061965
1,1491414157071,-0.0701156184,0.0282572061,0.1415958405
1,1491414157112,-0.065055348,0.027897872,0.1596050858
1,1491414157153,0.0305075832,0.0701158941,0.0936318263
1,1491414157190,-0.0801429078,0.0595241152,0.0004946446
1,1491414157231,-0.0319348872,0.0409573317,0.3886391222
1,1491414157273,-0.0442386791,0.0681615993,0.2270939648
1,1491414157312,-0.0248666089,0.059017498,0.418753475
1,1491414157351,0.0442835875,-0.0598373301,0.2832849622
1,1491414157391,0.0818158537,-0.0167778637,0.2060431242
1,1491414157432,0.0698693544,-0.0359147377,0.3794323802
1,1491414157479,0.0432815291,0.0232402403,0.1557312906
1,1491414157511,0.0882237181,-0.0942948088,0.2619178593
1,1491414157553,0.1223292649,-0.1226045266,0.1554901302
1,1491414157591,0.0299408212,-0.0744261295,0.1430954933
1,1491414157631,-0.1713953316,0.110335432,0.2911113501
1,1491414157671,-0.156741187,0.0984309986,0.1199926436
1,1491414157711,-0.0790811852,0.0348250568,0.1789180487
1,1491414157750,-0.0954457596,0.0114209838,0.2780482471
1,1491414157791,-0.1156877056,0.0582858101,0.209965378
1,1491414157835,-0.0573074035,0.0019007957,0.1622004807
1,1491414157871,-0.0725718215,-0.0031696653,0.2075495273
1,1491414157914,-0.0893369466,0.0300659351,0.1549438387
1,1491414157952,-0.0685665831,0.0257591531,0.2640077174
1,1491414157989,-0.0700140521,-0.0587905124,0.1305622309
1,1491414158030,-0.1362912804,0.0671023205,0.3570489883
1,1491414158071,-0.0903220624,-0.0416063219,0.2920468152
1,1491414158112,-0.1364924461,0.0336737409,0.1424397379
1,1491414158152,-0.1575957686,0.0092930477,0.1827116162
1,1491414158196,-0.1415621042,0.0078799259,0.1671527475
1,1491414158232,-0.1953107566,0.0388217829,0.2780997753
1,1491414158271,-0.1229434311,-0.0659007132,0.2000161558
1,1491414158313,-0.1332359314,0.0094620697,0.1750689447
1,1491414158351,-0.0853634253,-0.062754862,0.1855034232
1,1491414158393,-0.1134944558,0.034880206,0.2263234854
1,1491414158433,-0.117514357,-0.0428335518,0.1309387833
1,1491414158471,-0.1310781091,-0.0005070498,0.1487893611
1,1491414158513,-0.1867816597,0.0120337168,0.1648762226
1,1491414158551,-0.1279176474,-0.0160293765,0.1480683386
1,1491414158591,-0.1948682964,0.0770377368,0.1656319648
1,1491414158632,-0.117131874,-0.0356316082,0.2608405054
1,1491414158670,-0.1476583183,0.0141105363,0.1622162759
1,1491414158712,-0.1107483134,-0.070972912,0.1961238533
1,1491414158754,-0.1749517769,0.0234623831,0.1968295276
1,1491414158791,-0.1627596766,-0.0020249619,0.2021408081
1,1491414158830,-0.1304484159,-0.0314905606,0.1549577266
1,1491414158871,-0.1363055259,0.0058491752,0.0862499774
1,1491414158912,-0.1166076213,-0.0387950689,-0.0272093322
1,1491414158951,-0.1009108648,-0.0292318892,0.2727127969
1,1491414158991,-0.1431557536,0.0128457909,0.1689652205
1,1491414159031,-0.1529955268,-0.0202211421,0.275652647
1,1491414159072,-0.1048512533,-0.0166448765,-0.0311244521
1,1491414159113,-0.1500348747,0.0057384181,0.1390224397
1,1491414159160,-0.1955831051,-0.009849987,0.0623992234
1,1491414159192,-0.1080792993,-0.0359314606,0.0801327229
1,1491414159231,-0.1351768076,0.0432751961,0.1467748284
1,1491414159273,-0.0872592628,-0.0494989194,0.0884197131
1,1491414159312,-0.0906098187,-0.0024073357,0.2185189426
1,1491414159352,-0.1054159254,-0.0161869004,0.1123063341
1,1491414159391,-0.0828795359,-0.0265614707,0.1296217442
1,1491414159432,-0.0928944796,0.0119105177,0.047666382
1,1491414159473,-0.0892819017,0.0026544817,0.194244355
1,1491414159511,-0.0594454408,-0.0065882052,0.1159944832
1,1491414159551,-0.0605333187,0.0016787384,0.2351655662
1,1491414159592,-0.1661832482,0.056258332,0.3703091443
1,1491414159633,-0.0044030971,-0.031849768,0.2832194567
1,1491414159671,-0.0288940519,0.0231586825,0.0483285189
1,1491414159711,-0.0475247949,-0.0172550026,0.0453326851
1,1491414159753,0.0249609333,0.0202416591,0.243449524
1,1491414159791,0.0341432057,-0.0408098437,0.1460246295
1,1491414159832,0.0294385962,-0.010392366,0.191579625
1,1491414159871,0.0416984409,-0.0080072759,0.0706690177
1,1491414159911,-0.0028470864,-0.0007451724,0.1397683918
1,1491414159958,0.0242957007,0.0084354086,0.1868912876
1,1491414159995,0.041815985,-0.0143854069,0.1022133008
1,1491414160032,0.0262618735,0.0473032631,0.2104007453
1,1491414160074,0.0467581898,0.0281841718,0.0825862214
1,1491414160111,0.0241281874,0.0156981051,0.1412761658
1,1491414160152,0.1151853874,-0.0375356451,0.125309363
1,1491414160193,0.0346653946,0.0075250533,0.1397992671
1,1491414160231,0.0848534703,-0.0002954696,0.2639478147
1,1491414160278,0.0574925281,-0.0113688773,0.2414469123
1,1491414160313,0.1096488014,0.0060626133,0.1586844176
1,1491414160352,0.0787235275,-0.0106920684,0.1720497757
1,1491414160391,0.0706937239,0.0507345684,0.1072530821
1,1491414160431,0.0730420128,0.0473552123,0.3294501305
1,1491414160482,0.1243544519,-0.0117194066,0.178275764
1,1491414160512,0.0539263859,0.0820727125,0.1898543835
1,1491414160552,0.1029250994,-0.049441237,0.2368631065
1,1491414160593,0.0972706601,0.0300696865,0.1722489148
1,1491414160632,0.1161793917,-0.0084030479,0.1345392466
1,1491414160671,0.1503068954,-0.0002030755,0.2145819366
1,1491414160718,0.0911737233,0.0545545258,0.1218670532
1,1491414160753,0.1866754144,-0.0684987009,0.102291584
1,1491414160793,0.1224428117,0.0135077648,0.1639790088
1,1491414160830,0.1659355909,-0.0749416724,0.171657294
1,1491414160871,0.1681644469,0.0587308668,0.1564019322
1,1491414160912,0.1438877136,-0.0427793339,0.2903171182
1,1491414160952,0.0781201571,0.0645139217,0.06001544
1,1491414160991,0.2062277049,-0.0710164309,0.2583040297
1,1491414161035,0.1575539261,0.0648514777,0.0834300369
1,1491414161074,0.1446046084,-0.0511735827,0.0987193361
1,1491414161113,0.1903613359,0.0658783615,0.3470231295
1,1491414161151,0.2039945126,-0.1042765379,0.156218037
1,1491414161191,0.1446999162,0.0806152448,0.1717918217
1,1491414161232,0.2281650454,-0.1223818585,0.0675238594
1,1491414161272,0.146712333,0.108840242,0.2579667568
1,1491414161312,0.1662876606,-0.0493519641,0.0420719162
1,1491414161351,0.1227527782,0.0872110575,0.1638810784
1,1491414161391,0.1996354759,-0.0866355971,0.1325951666
1,1491414161434,0.1439304054,0.0897443667,0.2855899632
1,1491414161471,0.2325397581,-0.0812889189,0.1250592172
1,1491414161511,0.1426226795,0.0513377003,0.2163757682
1,1491414161551,0.1948995441,-0.0990106463,0.2471235991
1,1491414161591,0.0938375667,0.0902295932,0.0285403542
1,1491414161633,0.2297757715,-0.0816405043,0.1267811656
1,1491414161673,0.1426446736,0.0531715602,0.0395432673
1,1491414161711,0.1971577257,-0.0333737023,0.2740552425
1,1491414161754,0.1237921268,0.0177715551,0.1755443215
1,1491414161790,0.1995538771,-0.0183549747,0.1805934459
1,1491414161834,0.1778075844,-0.0313415974,0.1155225635
1,1491414161871,0.1632707864,-0.077928178,0.2657430172
1,1491414161914,0.1555920392,0.019446319,0.1367524415
1,1491414161954,0.1814294159,0.0051673437,0.2586740851
1,1491414161993,0.1753670871,-0.0367576443,0.2137205899
1,1491414162029,0.1647758633,-0.0423251316,0.1952520758
1,1491414162071,0.1869796664,-0.0446831286,0.2572114468
1,1491414162111,0.1364931315,-0.0352005623,0.0816032514
1,1491414162153,0.1938706338,-0.0095216651,0.2576854527
1,1491414162193,0.1539760083,-0.0498750322,0.1392709166
1,1491414162232,0.1452199519,0.0739738643,0.2315421402
1,1491414162272,0.1718972474,-0.0837473124,0.1559378803
1,1491414162311,0.1209223568,0.011742021,0.2381478101
1,1491414162351,0.1817881018,0.0058112582,0.1493842751
1,1491414162393,0.1871079355,-0.0427194461,0.1424584836
1,1491414162432,0.1244970337,-0.0223961361,0.1868751943
1,1491414162474,0.1597707272,0.0094935531,0.2308843434
1,1491414162512,0.1170249432,0.0192576759,0.1722196639
1,1491414162550,0.1637318283,-0.0073807132,0.152300179
1,1491414162605,0.1250405461,0.0181237198,0.1487206519
1,1491414162633,0.1144390777,0.003759559,0.1667118818
1,1491414162675,0.1531711072,-0.0177010149,0.2939550877
1,1491414162713,0.1684628278,-0.0313675962,0.1038465276
1,1491414162751,0.1328992248,0.0123223457,0.3446618915
1,1491414162791,0.1414787173,0.0073130592,0.0587077588
1,1491414162833,0.1648664027,-0.0368186831,0.2970650792
1,1491414162872,0.0927543268,-0.00272655,0.2345972061
1,1491414162914,0.1874007881,-0.0354116932,0.2796199024
1,1491414162952,0.1159153953,0.0131206661,0.2795719504
1,1491414162991,0.1323276609,-0.0245148987,0.2533494532
1,1491414163032,0.1154820174,0.0320786946,0.1963028312
1,1491414163071,0.1485346407,-0.0116597768,0.136738494
1,1491414163119,0.1122963503,-0.0201522801,0.3484049439
1,1491414163152,0.1381361783,-0.0260590017,0.1739953905
1,1491414163191,0.1003345475,-0.0162043367,0.2385271192
1,1491414163235,0.1200147867,-0.0462916419,0.2865637243
1,1491414163271,0.1270728558,-0.0730666071,0.2267417908
1,1491414163312,0.120934397,-0.041199863,0.2271508873
1,1491414163351,0.0540634319,0.0123608429,0.2078729123
1,1491414163391,0.0832381621,0.0019124235,0.1339486241
1,1491414163435,0.1017013118,-0.0173237026,0.2107146978
1,1491414163474,0.0238620322,-0.0009799666,0.260522753
1,1491414163511,0.0505520776,-0.0177421179,0.2093509436
1,1491414163552,0.0846215114,-0.038911961,0.3138486147
1,1491414163591,0.0811244622,0.0015847922,0.1515325159
1,1491414163631,0.0503279828,-0.0019916114,0.246193409
1,1491414163672,0.0735159218,0.011135892,0.1845630556
1,1491414163711,0.1035364866,-0.0519689843,0.2542441785
1,1491414163754,0.0513868555,-0.0192178115,0.2125909925
1,1491414163791,0.0606900454,-0.0176766571,0.2946629524
1,1491414163831,0.0499734469,-0.0090772053,0.2042393237
1,1491414163872,0.0244253036,-0.0047064591,0.2286331952
1,1491414163911,0.0249055792,-0.0176969636,0.2004871368
1,1491414163952,0.0176678505,-0.0021146813,0.2264266908
1,1491414163992,0.0120472116,-0.0097830314,0.1803849041
1,1491414164034,0.0477940328,-0.0520938896,0.0853954777
1,1491414164076,0.01282096,0.0058920183,0.1247570664
1,1491414164111,0.0266723745,-0.0184536986,0.2129750252
1,1491414164151,-0.0351725817,-0.0211000536,0.2612731457
1,1491414164191,-0.0045134583,-0.0053630304,0.1260715127
1,1491414164230,-0.0480395742,0.0091807153,0.2440431863
1,1491414164272,-0.0471015126,-0.0131989773,0.2077178359
1,1491414164311,-0.0503146052,0.0059427936,0.1825857311
1,1491414164350,-0.0208602399,0.0248816982,0.2199327946
1,1491414164391,-0.0391343161,-0.0349512063,0.1524115801
1,1491414164431,-0.0436560102,0.0416455492,0.1386215836
1,1491414164471,-0.0489821248,-0.0067448895,0.1982414722
1,1491414164513,-0.0389478132,0.0184326507,0.1734794229
1,1491414164552,-0.0573961474,-0.018499773,0.1301520616
1,1491414164592,-0.0275791083,-0.0010124501,0.135522157
1,1491414164631,-0.0406086557,-0.0248609129,0.2815727592
